player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly,z_rating,z_performance_score,z_goals,z_pass_accuracy,z_defensive_impact,anomaly_score,anomaly_type
Brenden Aaronson,Leeds United,Premier League,22,Midfielder,20,19,1596,1,0.11,1.53,0.28,23.2,1.75,74.9,1.64,0.06,1.69,3.73,1.19,2.26,0.62,0.11,0.0,1,7.477,0.319,0.05,0.4529,0.8867,1.181,-0.1423,0,0.0329,-0.1423,-0.0137,-0.045,-0.0725,0.0613,Normal
Yunis Abdelhamid,Reims,Ligue 1,35,Defender,22,22,1980,0,0.05,0.86,0.05,38.5,0.27,81.5,2.5,2.0,2.23,0.68,0.32,0.5,1.32,0.09,0.0,2,7.406,0.4706,0.0,0.4793,1.0,2.269,0.179,0,-0.2825,0.179,-0.5103,0.4583,1.06,0.498,Normal
Himad Abdelli,Angers,Ligue 1,23,Midfielder,14,8,770,0,0.0,1.05,0.35,40.0,1.51,80.8,2.91,0.93,1.51,3.84,2.09,1.28,1.74,0.12,0.0,3,7.398,0.5443,0.0,0.4924,0.6111,1.896,0.3385,0,-0.318,0.3385,-0.5103,0.405,0.6718,0.4487,Normal
Salis Abdul Samed,Lens,Ligue 1,22,Midfielder,20,20,1799,1,0.0,0.6,0.15,59.5,0.5,91.6,1.5,1.1,1.3,1.25,0.7,1.35,2.45,0.15,0.0,4,7.55,0.56,0.05,0.5367,0.9994,1.32,0.8776,0,0.3571,0.8776,-0.0137,1.2286,0.0722,0.5098,Normal
Laurent Abergel,Lorient,Ligue 1,30,Midfielder,15,15,1165,0,0.08,0.31,0.0,37.9,0.62,87.3,3.8,1.16,1.4,0.93,0.54,1.01,0.93,0.16,0.0,5,7.434,0.5806,0.0,0.5137,0.863,2.288,0.5977,0,-0.1581,0.5977,-0.5103,0.9006,1.0798,0.6493,Normal
Oliver Abildgaard,Hellas Verona,Serie A,26,Midfielder,1,0,11,0,0.0,0.0,0.0,20.0,0.0,66.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7.334,0.0,0.0,0.3534,0.1222,4.0,-1.3533,0,-0.6023,-1.3533,-0.5103,-0.6703,2.862,1.1996,Attention
Matthis Abline,Auxerre,Ligue 1,19,Midfielder,5,2,185,1,0.0,4.29,1.43,7.14,0.0,71.4,1.43,0.48,0.48,1.43,0.48,1.43,0.95,0.0,0.0,7,7.457,0.3357,0.2,0.4936,0.4111,0.86,0.3531,0,-0.0559,0.3531,-0.0137,-0.3119,-0.4067,0.2283,Normal
Matthis Abline,Rennes,Ligue 1,19,Midfielder,11,0,107,1,0.0,5.0,1.67,5.83,1.67,46.7,0.83,1.67,0.83,0.0,0.0,4.17,2.5,0.0,0.0,8,7.334,0.0,0.0909090909090909,0.3407,0.1081,1.082,-1.5079,0,-0.6023,-1.5079,-0.0137,-2.1955,-0.1756,0.899,Normal
Abner,Betis,La Liga,22,Defender,4,3,272,0,0.0,0.67,0.33,39.0,0.0,71.8,2.67,2.0,1.33,1.33,0.33,0.67,0.67,0.0,0.0,9,7.359,0.2481,0.0,0.414,0.7556,2.067,-0.6157,0,-0.4912,-0.6157,-0.5103,-0.2814,0.8498,0.5497,Normal
Zakaria Aboukhlal,Toulouse,Ligue 1,22,Midfielder,22,17,1507,5,0.24,2.75,1.02,17.6,0.54,69.7,1.14,0.84,0.54,3.17,1.02,1.8,1.56,0.18,0.0,10,7.856,0.3218,0.2272727272727272,0.5076,0.7611,0.87,0.5235,0,1.7163,0.5235,1.9727,-0.4415,-0.3963,1.0101,Attention
Tammy Abraham,Roma,Serie A,25,Forward,22,18,1582,6,0.17,2.67,1.25,13.7,1.42,68.6,0.74,0.17,0.51,3.01,0.8,2.05,1.31,0.06,0.0,11,7.952,0.2658,0.2727272727272727,0.5107,0.799,0.5,0.5612,0,2.1427,0.5612,2.4693,-0.5254,-0.7815,1.296,Surperformance
Francesco Acerbi,Inter,Serie A,35,Defender,14,12,1110,0,0.08,0.49,0.0,51.7,0.49,87.7,1.3,0.98,0.57,0.16,0.0,0.73,0.73,0.24,0.0,12,7.432,0.0,0.0,0.3984,0.881,0.985,-0.8056,0,-0.167,-0.8056,-0.5103,0.9311,-0.2766,0.5381,Normal
Mohamed Achi,Nantes,Ligue 1,21,Forward,2,0,36,0,0.0,2.5,0.0,45.0,2.5,85.7,2.5,0.0,0.0,2.5,0.0,0.0,5.0,0.0,0.0,13,7.428,0.0,0.0,0.3942,0.2,1.0,-0.8567,0,-0.1848,-0.8567,-0.5103,0.7786,-0.261,0.5183,Normal
Marcos Acuña,Sevilla,La Liga,31,Defender,16,12,985,2,0.09,1.47,0.37,46.5,1.93,73.9,3.3,1.47,1.01,2.11,0.64,1.65,1.65,0.46,0.09,14,7.535,0.3033,0.125,0.472,0.684,2.064,0.0902,0,0.2905,0.0902,0.4829,-0.1212,0.8466,0.3663,Normal
Che Adams,Southampton,Premier League,26,Forward,21,18,1577,4,0.11,2.06,0.74,14.6,1.2,65.8,0.86,0.23,0.51,1.43,0.63,1.03,1.77,0.0,0.0,15,7.737,0.4406,0.1904761904761904,0.509,0.8344,0.566,0.5405,0,1.1877,0.5405,1.4761,-0.7389,-0.7128,0.9312,Normal
Tyler Adams,Leeds United,Premier League,23,Midfielder,19,19,1706,0,0.0,0.11,0.0,47.1,1.21,82.0,4.11,1.42,1.84,0.89,0.16,1.05,1.74,0.26,0.05,16,7.387,0.1798,0.0,0.4216,0.9977,2.622,-0.5232,0,-0.3669,-0.5232,-0.5103,0.4965,1.4275,0.6649,Normal
Sargis Adamyan,Köln,Bundesliga,29,Midfielder,16,3,471,1,0.19,3.46,1.73,18.1,1.35,72.3,1.92,0.38,1.35,4.04,0.77,0.77,2.31,0.38,0.0,17,7.456,0.1906,0.0625,0.4252,0.3271,1.287,-0.4794,0,-0.0604,-0.4794,-0.0137,-0.2433,0.0378,0.1669,Normal
Tosin Adarabioyo,Fulham,Premier League,25,Defender,14,12,1095,1,0.0,0.33,0.16,38.9,0.08,80.1,1.07,1.07,0.82,0.25,0.16,0.25,0.66,0.16,0.0,18,7.492,0.64,0.0714285714285714,0.5344,0.869,0.995,0.8496,0,0.0995,0.8496,-0.0137,0.3516,-0.2662,0.3161,Normal
Martin Adeline,Reims,Ligue 1,19,Midfielder,5,0,107,0,0.0,0.83,0.0,24.2,0.0,70.7,2.5,2.5,2.5,2.5,0.83,0.0,4.17,1.67,0.0,19,7.27,0.332,0.0,0.4259,0.2378,2.5,-0.4709,0,-0.8865,-0.4709,-0.5103,-0.3653,1.3005,0.7067,Normal
Karim Adeyemi,Dortmund,Bundesliga,21,Midfielder,15,11,765,2,0.12,2.24,0.94,24.2,1.41,73.6,1.18,0.71,1.18,5.41,1.53,2.0,1.29,0.59,0.0,20,7.547,0.2828,0.1333333333333333,0.4702,0.5667,1.039,0.0683,0,0.3438,0.0683,0.4829,-0.1441,-0.2204,0.2519,Normal
Amine Adli,Leverkusen,Bundesliga,22,Forward,13,6,652,1,0.28,1.94,0.69,26.3,1.39,79.4,1.53,0.42,2.08,2.64,1.11,2.78,3.33,0.14,0.0,21,7.51,0.4205,0.0769230769230769,0.4913,0.5573,1.362,0.3251,0,0.1795,0.3251,-0.0137,0.2982,0.1159,0.1865,Normal
Yacine Adli,Milan,Serie A,22,Midfielder,4,1,116,0,0.0,1.54,1.54,29.2,0.77,63.3,4.62,0.77,1.54,0.77,0.77,0.77,2.31,0.77,0.0,22,7.278,1.0,0.0,0.5449,0.3222,2.541,0.9774,0,-0.851,0.9774,-0.5103,-0.9296,1.3432,0.9223,Normal
Michel Aebischer,Bologna,Serie A,26,Midfielder,18,8,775,1,0.0,1.16,0.23,32.6,0.93,81.9,0.47,0.35,1.28,0.47,0.12,1.63,1.16,0.35,0.0,23,7.492,0.2553,0.0555555555555555,0.4563,0.4784,0.677,-0.1009,0,0.0995,-0.1009,-0.0137,0.4888,-0.5972,0.26,Normal
Felix Afena-Gyan,Cremonese,Serie A,20,Midfielder,12,2,359,0,0.0,2.5,0.25,17.8,0.25,78.9,1.0,0.0,0.25,2.0,0.5,1.0,2.0,0.25,0.0,24,7.382,0.25,0.0,0.4293,0.3324,0.475,-0.4295,0,-0.3891,-0.4295,-0.5103,0.2601,-0.8075,0.4793,Normal
Emmanuel Agbadou,Reims,Ligue 1,25,Defender,19,18,1599,0,0.11,0.79,0.11,43.4,0.34,85.4,2.58,1.18,1.12,0.39,0.22,0.28,1.01,0.11,0.11,25,7.407,0.5641,0.0,0.5058,0.9351,1.722,0.5015,0,-0.278,0.5015,-0.5103,0.7558,0.4906,0.5072,Normal
Lucien Agoume,Troyes,Ligue 1,21,Midfielder,5,4,286,0,0.0,0.31,0.0,47.5,0.63,83.1,4.38,1.88,0.63,1.56,0.63,1.56,2.19,0.63,0.0,26,7.384,0.4038,0.0,0.4685,0.6356,2.505,0.0476,0,-0.3802,0.0476,-0.5103,0.5804,1.3057,0.5648,Normal
Felix Agu,Werder Bremen,Bundesliga,23,Defender,3,0,49,0,0.0,2.0,0.0,32.0,2.0,64.0,2.0,0.0,2.0,6.0,0.0,6.0,6.0,0.0,0.0,27,7.32,0.0,0.0,0.3476,0.1815,1.4,-1.4239,0,-0.6644,-1.4239,-0.5103,-0.8762,0.1554,0.726,Normal
Álvaro Aguado,Valladolid,La Liga,26,Midfielder,19,12,1130,0,0.16,0.71,0.16,44.2,1.43,83.0,0.95,0.63,0.87,1.03,0.48,1.27,0.48,0.16,0.0,28,7.418,0.466,0.0,0.4817,0.6608,0.83,0.2082,0,-0.2292,0.2082,-0.5103,0.5727,-0.4379,0.3917,Normal
Kevin Agudelo,Spezia,Serie A,24,Midfielder,21,16,1443,0,0.0,1.13,0.31,19.6,0.88,70.6,2.94,0.44,1.75,3.38,1.38,1.75,1.63,0.13,0.0,29,7.346,0.4083,0.0,0.4432,0.7635,1.833,-0.2603,0,-0.549,-0.2603,-0.5103,-0.3729,0.6062,0.4597,Normal
Nayef Aguerd,West Ham,Premier League,26,Defender,6,5,515,0,0.0,0.88,0.0,30.9,0.18,78.2,2.28,1.05,1.23,0.18,0.18,0.7,0.7,0.53,0.0,30,7.364,1.0,0.0,0.5773,0.9537,1.596,1.3718,0,-0.469,1.3718,-0.5103,0.2067,0.3595,0.5835,Normal
Ruben Aguilar,Monaco,Ligue 1,29,Defender,13,7,615,0,0.0,0.29,0.29,47.9,0.15,81.7,1.91,1.91,0.44,0.74,0.44,1.03,1.47,0.29,0.0,31,7.394,0.5946,0.0,0.5041,0.5256,1.469,0.4809,0,-0.3358,0.4809,-0.5103,0.4736,0.2273,0.4056,Normal
Naouirou Ahamada,Crystal Palace,Premier League,20,Midfielder,2,0,16,0,0.0,5.0,0.0,50.0,0.0,71.4,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,32,7.357,1.0,0.0,0.5635,0.0889,1.5,1.2038,0,-0.5001,1.2038,-0.5103,-0.3119,0.2595,0.5571,Normal
Naouirou Ahamada,Stuttgart,Bundesliga,20,Midfielder,17,17,1398,2,0.13,1.03,0.32,29.0,0.97,84.9,1.1,0.52,1.03,2.71,1.16,1.1,1.03,0.26,0.06,33,7.609,0.428,0.1176470588235294,0.519,0.9137,0.905,0.6622,0,0.6192,0.6622,0.4829,0.7176,-0.3599,0.5684,Normal
Amar Ahmed,Troyes,Ligue 1,18,Forward,1,0,20,0,0.0,0.0,0.0,30.0,0.0,60.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,34,7.3,1.0,0.0,0.539,0.2222,3.5,0.9056,0,-0.7533,0.9056,-0.5103,-1.1812,2.3415,1.1384,Attention
Jean-Eudes Aholou,Strasbourg,Ligue 1,28,Midfielder,19,10,834,1,0.0,0.97,0.32,26.1,0.65,71.9,2.04,1.83,1.29,2.69,1.08,1.72,2.58,0.32,0.11,35,7.421,0.4015,0.0526315789473684,0.4625,0.4877,1.752,-0.0254,0,-0.2158,-0.0254,-0.0137,-0.2738,0.5219,0.2101,Normal
Joseph Aidoo,Celta Vigo,La Liga,27,Defender,20,20,1800,2,0.0,0.45,0.1,43.4,0.05,85.4,1.7,0.8,0.9,0.25,0.15,0.35,0.6,0.15,0.0,36,7.62,0.6,0.1,0.5494,1.0,1.19,1.0322,0,0.668,1.0322,0.4829,0.7558,-0.0632,0.6004,Normal
Ola Aina,Torino,Serie A,26,Defender,12,8,676,1,0.13,0.93,0.4,41.5,1.2,74.4,1.73,1.07,1.2,4.53,2.27,1.6,1.6,0.53,0.0,37,7.455,0.5011,0.0833333333333333,0.4977,0.6259,1.373,0.403,0,-0.0648,0.403,-0.0137,-0.0831,0.1273,0.1384,Normal
Rayan Aït Nouri,Wolves,Premier League,21,Defender,17,9,913,1,0.0,0.99,0.5,39.3,0.69,81.2,2.67,0.69,0.2,3.86,1.98,0.69,1.09,0.3,0.0,38,7.491,0.513,0.0588235294117647,0.5074,0.5967,1.335,0.521,0,0.0951,0.521,-0.0137,0.4355,0.0878,0.2306,Normal
Emanuel Aiwum,Cremonese,Serie A,22,Defender,15,11,1029,0,0.0,0.26,0.09,36.4,0.35,77.0,3.77,1.67,1.32,0.53,0.09,0.7,1.14,0.18,0.0,39,7.376,0.1698,0.0,0.4092,0.7622,2.405,-0.6742,0,-0.4157,-0.6742,-0.5103,0.1152,1.2016,0.5834,Normal
Kristoffer Ajer,Brentford,Premier League,24,Defender,9,9,763,0,0.0,0.12,0.0,30.5,0.12,75.1,1.29,0.82,0.71,0.82,0.12,0.94,0.59,0.0,0.0,40,7.376,0.1463,0.0,0.4007,0.942,0.975,-0.7776,0,-0.4157,-0.7776,-0.5103,-0.0297,-0.287,0.4041,Normal
Ludovic Ajorque,Strasbourg,Ligue 1,28,Forward,13,9,771,1,0.0,2.56,0.81,20.7,1.16,69.8,0.58,0.23,0.35,0.47,0.23,0.93,1.63,0.12,0.0,41,7.443,0.4894,0.0769230769230769,0.4838,0.659,0.406,0.2338,0,-0.1181,0.2338,-0.0137,-0.4339,-0.8793,0.3358,Normal
Ludovic Ajorque,Mainz 05,Bundesliga,28,Forward,4,3,231,0,0.38,2.69,0.77,16.9,1.54,50.0,0.0,0.0,1.15,0.77,0.38,0.38,2.31,0.38,0.0,42,7.258,0.4935,0.0,0.4164,0.6417,0.345,-0.5865,0,-0.9398,-0.5865,-0.5103,-1.9438,-0.9428,0.9846,Normal
Manuel Akanji,Manchester City,Premier League,27,Defender,15,14,1286,0,0.07,0.77,0.14,76.2,0.28,94.2,1.54,0.77,1.33,0.28,0.21,0.49,0.91,0.07,0.0,43,7.472,0.75,0.0,0.5626,0.9526,1.246,1.1929,0,0.0107,1.1929,-0.5103,1.4268,-0.0049,0.6291,Normal
Nathan Aké,Manchester City,Premier League,27,Defender,15,13,1156,0,0.0,0.31,0.0,84.2,0.39,91.5,1.25,1.02,1.02,0.23,0.16,0.7,0.7,0.0,0.0,44,7.458,0.6957,0.0,0.5459,0.8563,1.112,0.9896,0,-0.0515,0.9896,-0.5103,1.2209,-0.1444,0.5833,Normal
Sergio Akieme,Almería,La Liga,25,Defender,21,21,1890,0,0.0,1.05,0.29,34.0,0.86,77.3,1.29,0.62,1.0,2.14,1.19,0.67,0.81,0.19,0.0,45,7.377,0.5561,0.0,0.4871,1.0,1.002,0.274,0,-0.4113,0.274,-0.5103,0.138,-0.2589,0.3185,Normal
Maghnes Akliouche,Monaco,Ligue 1,20,Defender,6,3,248,0,0.0,0.36,0.36,28.2,1.79,74.5,2.14,0.71,0.36,2.14,0.71,1.07,1.79,1.07,0.0,46,7.319,0.3318,0.0,0.4349,0.4593,1.177,-0.3614,0,-0.6689,-0.3614,-0.5103,-0.0755,-0.0767,0.3386,Normal
Paul Akouokou,Betis,La Liga,25,Midfielder,6,2,238,0,0.0,0.77,0.38,36.2,0.0,93.1,3.46,1.92,0.0,0.38,0.0,1.15,1.54,0.77,0.0,47,7.427,0.0,0.0,0.409,0.4407,1.96,-0.6766,0,-0.1892,-0.6766,-0.5103,1.343,0.7384,0.6915,Normal
Jean-Daniel Akpa-Akpro,Empoli,Serie A,30,Midfielder,12,7,606,0,0.0,1.04,0.3,24.8,0.15,77.9,3.13,0.9,3.43,2.24,1.34,1.19,2.24,0.9,0.3,48,7.284,0.5982,0.0,0.494,0.5611,2.551,0.3579,0,-0.8243,0.3579,-0.5103,0.1838,1.3536,0.646,Normal
Kevin Akpoguma,Hoffenheim,Bundesliga,27,Defender,16,10,1030,0,0.0,0.53,0.09,37.6,0.26,78.7,3.16,1.14,2.28,1.32,0.35,0.7,1.49,0.53,0.0,49,7.367,0.2652,0.0,0.4314,0.7153,2.29,-0.404,0,-0.4557,-0.404,-0.5103,0.2448,1.0819,0.5393,Normal
David Alaba,Real Madrid,La Liga,30,Defender,17,15,1365,1,0.2,0.59,0.07,50.2,0.99,88.3,0.66,0.72,0.79,0.13,0.07,0.13,0.46,0.2,0.0,50,7.546,0.5385,0.0588235294117647,0.5283,0.8922,0.717,0.7754,0,0.3394,0.7754,-0.0137,0.9769,-0.5556,0.5322,Normal
Tomás Alarcón,Cádiz,La Liga,24,Midfielder,4,2,223,0,0.0,0.8,0.4,31.2,0.8,82.1,1.2,0.8,0.4,0.0,0.0,1.2,1.6,0.8,0.4,51,7.29,0.0,0.0,0.3829,0.6194,0.84,-0.9942,0,-0.7977,-0.9942,-0.5103,0.5041,-0.4275,0.6468,Normal
Lucas Alario,Eint Frankfurt,Bundesliga,30,Forward,12,2,248,1,0.0,3.21,0.71,14.6,0.36,69.5,1.07,0.0,0.0,2.86,1.79,0.71,2.14,0.0,0.0,52,7.448,0.6259,0.0833333333333333,0.5126,0.2296,0.428,0.5843,0,-0.0959,0.5843,-0.0137,-0.4568,-0.8564,0.4014,Normal
Jordi Alba,Barcelona,La Liga,33,Defender,14,9,931,1,0.29,0.87,0.19,82.6,2.52,85.2,1.65,0.49,0.78,0.78,0.39,0.19,0.68,0.39,0.1,53,7.507,0.5,0.0714285714285714,0.517,0.7389,1.041,0.6379,0,0.1661,0.6379,-0.0137,0.7405,-0.2183,0.3553,Normal
Luis Alberto,Lazio,Serie A,30,Midfielder,19,11,1053,4,0.26,1.45,0.6,53.3,2.14,80.0,1.88,0.34,1.2,1.03,0.17,0.34,0.6,0.09,0.0,54,7.814,0.165,0.2105263157894736,0.4906,0.6158,1.214,0.3166,0,1.5297,0.3166,1.4761,0.3439,-0.0382,0.7409,Normal
Raúl Albiol,Villarreal,La Liga,37,Defender,17,17,1519,0,0.0,0.06,0.0,54.7,0.12,88.6,1.01,0.65,0.83,0.24,0.12,0.65,0.83,0.3,0.0,55,7.428,0.5,0.0,0.5,0.9928,0.848,0.431,0,-0.1848,0.431,-0.5103,0.9998,-0.4192,0.509,Normal
Marc Albrighton,Leicester City,Premier League,33,Midfielder,6,1,237,1,0.0,0.77,0.38,34.6,2.31,60.4,1.54,0.38,2.31,0.38,0.38,0.77,0.77,0.0,0.0,56,7.402,1.0,0.1666666666666666,0.5929,0.4389,1.423,1.5616,0,-0.3002,1.5616,-0.0137,-1.1507,0.1794,0.6411,Normal
Thiago Alcántara,Liverpool,Premier League,31,Midfielder,14,14,1154,0,0.0,0.7,0.08,65.8,1.33,85.9,3.2,1.41,1.09,2.19,1.48,1.95,1.41,0.16,0.0,57,7.422,0.6758,0.0,0.5296,0.9159,2.03,0.7912,0,-0.2114,0.7912,-0.5103,0.7939,0.8112,0.6236,Normal
Carlos Alcaraz,Southampton,Premier League,20,Midfielder,3,1,134,1,0.0,2.67,0.67,24.7,0.67,75.5,1.33,0.67,2.0,2.67,1.33,0.67,1.33,0.0,0.0,58,7.478,0.4981,0.3333333333333333,0.575,0.4963,1.333,1.3438,0,0.0373,1.3438,-0.0137,0.0008,0.0857,0.2963,Normal
Rubén Alcaraz,Cádiz,La Liga,31,Midfielder,16,11,1008,1,0.0,1.52,0.18,32.5,0.89,78.6,2.5,0.8,0.98,0.71,0.27,1.79,1.96,0.54,0.09,59,7.448,0.3803,0.0625,0.4754,0.7,1.534,0.1316,0,-0.0959,0.1316,-0.0137,0.2372,0.2949,0.1547,Normal
Omar Alderete,Getafe,La Liga,26,Defender,8,7,630,0,0.0,0.71,0.14,28.3,0.14,63.1,1.29,0.86,0.86,1.14,0.57,0.86,1.14,0.43,0.0,60,7.294,0.5,0.0,0.445,0.875,1.032,-0.2384,0,-0.7799,-0.2384,-0.5103,-0.9448,-0.2277,0.5402,Normal
Iván Alejo,Cádiz,La Liga,28,Midfielder,16,8,729,0,0.12,1.48,0.25,13.3,1.36,56.0,2.96,0.25,1.48,2.47,0.37,2.72,3.33,1.11,0.12,61,7.209,0.1498,0.0,0.3582,0.5062,1.703,-1.2949,0,-1.1575,-1.2949,-0.5103,-1.4863,0.4708,0.984,Normal
Doðan Alemdar,Rennes,Ligue 1,20,Goalkeeper,3,2,225,0,0.0,0.0,0.0,19.6,0.0,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,7.34,0.0,0.0,0.3564,0.8333,0.0,-1.3168,0,-0.5756,-1.3168,-0.5103,-0.5635,-1.3019,0.8536,Normal
Carles Aleñá,Getafe,La Liga,25,Midfielder,19,19,1455,2,0.12,1.3,0.49,28.3,0.49,77.2,0.93,0.25,0.74,1.6,0.86,2.28,2.41,0.49,0.0,63,7.57,0.5375,0.1052631578947368,0.5206,0.8509,0.669,0.6817,0,0.446,0.6817,0.4829,0.1304,-0.6055,0.4693,Normal
Trent Alexander-Arnold,Liverpool,Premier League,24,Defender,20,17,1441,1,0.06,1.31,0.19,64.9,2.25,73.1,1.44,1.38,0.75,0.69,0.44,0.19,0.5,0.19,0.0,64,7.46,0.6377,0.05,0.5125,0.8006,1.215,0.5831,0,-0.0426,0.5831,-0.0137,-0.1822,-0.0372,0.1718,Normal
Alejandro Alfaro,Elche,La Liga,20,Midfielder,1,0,15,0,0.0,0.0,0.0,5.0,0.0,100.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,65,7.5,0.0,0.0,0.425,0.1667,0.0,-0.4819,0,0.135,-0.4819,-0.5103,1.8691,-1.3019,0.8596,Normal
Ángel Algobia,Getafe,La Liga,23,Midfielder,14,9,747,0,0.0,0.36,0.0,36.6,0.36,82.4,1.93,0.36,1.33,0.24,0.12,0.84,2.29,0.24,0.0,66,7.4,0.5,0.0,0.4868,0.5929,1.279,0.2703,0,-0.3091,0.2703,-0.5103,0.527,0.0295,0.3292,Normal
Mohamed Ali Cho,Real Sociedad,La Liga,19,Forward,8,3,317,0,0.57,3.14,1.43,13.1,1.43,63.0,1.43,0.57,1.71,6.29,2.29,2.0,1.43,0.29,0.0,67,7.34,0.3641,0.0,0.419,0.4403,1.256,-0.5549,0,-0.5756,-0.5549,-0.5103,-0.9525,0.0055,0.5198,Normal
Faride Alidou,Eint Frankfurt,Bundesliga,21,Defender,9,0,123,0,0.0,1.43,0.0,30.7,0.71,75.4,5.0,0.71,0.0,5.0,1.43,0.71,5.0,0.0,0.0,68,7.377,0.286,0.0,0.4293,0.1519,2.213,-0.4295,0,-0.4113,-0.4295,-0.5103,-0.0068,1.0017,0.4719,Normal
Alisson,Liverpool,Premier League,30,Goalkeeper,20,20,1800,0,0.05,0.0,0.0,31.8,0.05,85.7,0.0,0.0,0.1,0.0,0.0,0.05,0.05,0.0,0.0,69,7.432,0.0,0.0,0.3944,1.0,0.03,-0.8543,0,-0.167,-0.8543,-0.5103,0.7786,-1.2707,0.7162,Normal
Jim Allevinah,Clermont Foot,Ligue 1,27,Defender,21,13,1220,1,0.0,1.4,0.29,24.3,0.66,77.8,1.91,0.66,1.25,4.04,1.69,2.21,1.03,0.15,0.0,70,7.482,0.4183,0.0476190476190476,0.478,0.6455,1.337,0.1632,0,0.0551,0.1632,-0.0137,0.1762,0.0898,0.0996,Normal
Dele Alli,Everton,Premier League,26,Midfielder,2,0,40,0,0.0,0.0,0.0,30.0,0.0,80.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,71,7.4,0.0,0.0,0.382,0.2222,0.0,-1.0052,0,-0.3091,-1.0052,-0.5103,0.3439,-1.3019,0.6941,Normal
Domingos André Ribeiro Almeida,Valencia,La Liga,22,Midfielder,18,14,1255,2,0.22,0.79,0.36,40.1,1.44,81.6,2.52,0.72,0.86,2.73,1.15,1.51,1.15,0.14,0.0,72,7.616,0.4212,0.1111111111111111,0.5093,0.7747,1.482,0.5441,0,0.6503,0.5441,0.4829,0.466,0.2408,0.4768,Normal
Miguel Almirón,Newcastle Utd,Premier League,29,Forward,22,22,1816,10,0.05,2.33,0.74,29.3,0.84,82.5,1.78,0.35,1.14,2.92,1.09,1.29,0.69,0.05,0.0,73,8.414,0.3733,0.4545454545454545,0.6284,0.9172,1.159,1.9937,0,4.1947,1.9937,4.4557,0.5346,-0.0954,2.2548,Surperformance
Marcos Alonso,Barcelona,La Liga,32,Defender,12,6,620,1,0.0,0.43,0.14,73.6,0.43,91.2,1.16,0.87,1.01,0.14,0.14,0.58,0.87,0.14,0.0,74,7.549,1.0,0.0833333333333333,0.6339,0.5741,1.028,2.0606,1,0.3527,2.0606,-0.0137,1.1981,-0.2318,0.7714,Normal
Mickaël Alphonse,Ajaccio,Ligue 1,33,Defender,17,9,854,0,0.0,0.74,0.11,32.3,0.74,63.8,1.89,2.21,1.05,1.05,0.42,0.95,1.05,0.11,0.0,75,7.314,0.4,0.0,0.427,0.5582,1.734,-0.4575,0,-0.6911,-0.4575,-0.5103,-0.8915,0.5031,0.6107,Normal
Éder Álvarez Balanta,Schalke 04,Bundesliga,29,Midfielder,1,1,58,0,0.0,0.0,0.0,26.7,3.33,64.0,3.33,1.67,0.0,0.0,0.0,0.0,1.67,1.67,0.0,76,7.236,0.0,0.0,0.3451,0.6444,1.833,-1.4543,0,-1.0375,-1.4543,-0.5103,-0.8762,0.6062,0.8969,Normal
Carlos Álvarez,Sevilla,La Liga,19,Forward,1,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,77,6.5,0.0,0.0,0.195,0.1111,0.0,-3.2812,1,-4.3066,-3.2812,-0.5103,-5.7568,-1.3019,3.0314,Sous-performance
Gastón Álvarez,Getafe,La Liga,22,Defender,10,5,571,2,0.0,0.32,0.32,21.1,0.16,65.5,2.22,1.43,0.95,0.79,0.16,1.11,1.43,0.32,0.16,78,7.48,0.2025,0.2,0.4559,0.6344,1.602,-0.1058,0,0.0462,-0.1058,0.4829,-0.7618,0.3657,0.3525,Normal
Julián Álvarez,Manchester City,Premier League,23,Midfielder,16,5,578,4,0.0,2.97,1.25,24.7,0.94,79.0,1.56,0.0,1.25,1.72,0.94,0.78,1.56,0.0,0.0,79,7.795,0.5465,0.25,0.5762,0.4014,0.999,1.3584,0,1.4453,1.3584,1.4761,0.2677,-0.262,0.9619,Normal
Agustín Álvarez Martínez,Sassuolo,Serie A,21,Midfielder,16,1,296,1,0.3,3.33,0.91,15.8,0.3,80.0,0.91,0.91,0.91,3.03,0.91,0.91,2.12,0.3,0.0,80,7.506,0.3003,0.0625,0.464,0.2056,0.91,-0.0072,0,0.1617,-0.0072,-0.0137,0.3439,-0.3547,0.1762,Normal
